,zr,p,q
GABAa,0.5074424,0.0002,0.0047999998
SV2a,0.39942244,0.0018,0.0216
mGluR5,0.3654229,0.0032,0.0256
5HT2a,0.43142396,0.0108,0.0648
M1,0.27081037,0.032,0.1536
5HT6,0.1949582,0.0842,0.32022858
5HT1a,0.266252,0.0934,0.32022858
5HT1b,0.18077861,0.1152,0.3456
NET,0.1736601,0.18,0.48000002
NMDA,-0.059647202,0.5896,0.9998
D1,-0.065121904,0.6226,0.9998
D2,-0.123969465,0.697,0.9998
CB1,-0.082717806,0.7256,0.9998
5HT4,-0.13269225,0.7372,0.9998
a4b2,-0.16193224,0.7548,0.9998
FDOPA,-0.18747032,0.7816,0.9998
DAT,-0.1905412,0.7882,0.9998
OXT,-0.1862585,0.7912,0.9998
H3,-0.204139,0.9076,0.9998
MU,-0.231877,0.9294,0.9998
5HTT,-0.3457865,0.9418,0.9998
VAChT,-0.29380298,0.9558,0.9998
OXTR,-0.38524815,0.9838,0.9998
CD38,-0.5665841,0.9998,0.9998
