List 1 image,PET Map,Mean Fisher's z (Spearman rho),p-val (parametric),File,p_exact
List 1 image,5HT1a,0.0580673906914778,0.53627,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.64067
List 1 image,5HT1b,0.23502805187222,0.012683,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,  0.061588
List 1 image,5HT2a,0.344208348247381,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,0.00039992
List 1 image,5HT4,-0.265089147613554,0.0049861,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0045991
List 1 image,5HT6,0.113638639700031,0.22652,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.21976
List 1 image,5HTT,-0.448281411271348,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,0.00019996
List 1 image,a4b2,-0.137053908347556,0.14488,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.14617
List 1 image,CB1,-0.146906744669313,0.11822,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.32693
List 1 image,D1,-0.230468764430477,0.0145,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,  0.013797
List 1 image,D2,-0.258359180656573,0.0061922,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0069986
List 1 image,DAT,-0.328075195603658,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0009998
List 1 image,FDOPA,-0.328699190412672,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,  0.016197
List 1 image,GABAa,0.438088412705912,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0025995
List 1 image,H3,-0.262058615179468,0.0055,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,  0.075785
List 1 image,M1,0.183075316128881,0.051771,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.05139
List 1 image,mGluR5,0.24933677116781,0.008222,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0063987
List 1 image,MU,-0.326973122367459,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.12637
List 1 image,NET,0.243237952514812,0.0099144,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0085983
List 1 image,NMDA,-0.195472523915208,0.037899,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,   0.10818
List 1 image,VAChT,-0.375658258433555,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,0.00019996
List 1 image,OXT,-0.239263306208344,0.011179,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0089982
List 1 image,OXTR,-0.465868554019936,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii, 0.0013997
List 1 image,CD38,-0.622699348229073,<.001,/Users/leonlotter/MAsync/project/matlab_temp/ale_z.nii,0.00019996
