cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:1901386,"negative regulation of voltage-gated calcium channel activity",5,"GNB5, OPRL1, DRD2, DRD4, FMR1",0.234668888771721,2.12367450158624e-06,0.00824390900961047,0,0
GO:2001016,"positive regulation of skeletal muscle cell differentiation",5,"GPC1, MEF2C, CYP26B1, ARNTL, TBX1",0.417535075058343,2.37337239372692e-06,0.00824390900961047,0,0
GO:0000160,"phosphorelay signal transduction system",7,"KCNH4, MMS19, KCNH2, KCNH3, KCNH5, KCNH8, KCNH1",0.255715186638933,1.96451593432734e-05,0.0107149155534992,0,0
GO:0000290,"deadenylation-dependent decapping of nuclear-transcribed mRNA",8,"PAN3, DCP2, DCP1B, DCPS, PATL1, DCP1A, CNOT7, LSM1",0.278557001417187,1.17536404756757e-05,0.0107149155534992,0,0
GO:0003299,"muscle hypertrophy in response to stress",16,"MYH7, HEY2, KDM4A, MEF2C, TRPC3, ATP2B4, TCAP, KLF15, NPPA, ERRFI1, PPP3CA, EZH2, HDAC4, CAMTA2, INPP5F, ATP2A2",0.18643013130227,2.29667915512266e-05,0.0107149155534992,0,0
GO:0014887,"cardiac muscle adaptation",17,"EZH2, INPP5F, CAMTA2, KLF15, MEF2C, HDAC4, TCAP, ERRFI1, NPPA, MYH7, BMP10, ATP2A2, KDM4A, TRPC3, ATP2B4, HEY2, PPP3CA",0.162581400485041,2.23154027475525e-05,0.0107149155534992,0,0
GO:0014898,"cardiac muscle hypertrophy in response to stress",16,"ATP2A2, PPP3CA, MYH7, HDAC4, TRPC3, MEF2C, HEY2, ERRFI1, CAMTA2, KDM4A, TCAP, ATP2B4, INPP5F, KLF15, NPPA, EZH2",0.18643013130227,2.29667915512266e-05,0.0107149155534992,0,0
GO:0021702,"cerebellar Purkinje cell differentiation",10,"AGTPBP1, HERC1, ATP2B2, LDB1, ATP7A, CEND1, RORA, LHX1, FAIM2, CACNA1A",0.231782431841539,1.32552557241539e-05,0.0107149155534992,0,0
GO:0033233,"regulation of protein sumoylation",21,"RASD2, RWDD3, MUL1, PIAS1, ARNT, TOLLIP, RNF222, UBE2I, GNL3, PIAS3, HMG20B, HMG20A, CTNNB1, HDAC4, PIAS4, RNF4, CAPN3, PARK7, GNL3L, EGR1, CDKN2A",0.142511928983198,2.46780839003868e-05,0.0107149155534992,0,0
GO:0033561,"regulation of water loss via skin",9,"SRF, TMEM79, CLDN4, GBA, CYP26B1, SFN, ALOX12B, KDF1, ALOXE3",0.209875106754279,8.6860080236173e-06,0.0107149155534992,0,0
GO:0042996,"regulation of Golgi to plasma membrane protein transport",7,"CSK, ACSL3, PKDCC, LYPLA1, GOPC, CNST, RACK1",0.368474617432519,1.50251911549271e-05,0.0107149155534992,0,0
