cLabel,cID,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
Adult-Ex3,3,9,"CHN1, HR, HTR2A, PRDM8, TRIM66, NTNG1, VAV3, TRPC3, VIPR2",0.357265596438925,3.79807218816586e-05,0.000911537325159806,0,0
Adult-In5,13,7,"GAL3ST1, HHIP, MTUS2, SLC2A13, PDGFD, TOX, MYB",0.123329767412353,0.0010747200392851,0.0128966404714213,0.001,0.012
Adult-In6,14,5,"NXPH1, PVALB, RPH3AL, ZNF703, LRRC38",0.192135170053872,0.00484548684584907,0.0387638947667925,0.004,0.032
Adult-Ex4,4,15,"ANO3, LMO4, SCN2A, SLC17A7, TSHZ2, GABRG1, PLCXD3, COL6A1, ANXA1, TNNT2, NEUROD6, CXXC4, PLCXD2, PCDH20, PAPSS2",0.121926231547345,0.0298656048639595,0.147137283846767,0.0252,0.1248
Adult-OtherNeuron,22,38,"CALB2, CCK, CHGB, GABRG2, MAP7D2, MEG3, VSNL1, DLX2, SST, NRIP3, KIT, DNER, DLX1, PNOC, SLC10A4, VIP, SHISA8, PTHLH, TAC3, CPNE2, HTR2C, RELN, IGFBP5, SLC22A3, PROX1, PCDH20, ITGA8, ADCY8, TMEM132C, PIP5K1B, SPOCK3, NMU, LHX6, TAC1, CRHBP, GPR83, PVALB, LRRC38",0.0738631617594247,0.0306536008014099,0.147137283846767,0.026,0.1248
Adult-Ex5,5,21,"CELF4, CPNE4, KHDRBS3, NEUROD2, SORCS2, SV2B, TLL1, IL1RAPL2, ARSJ, IFITM10, ACOT11, RNF182, ABCC9, RCSD1, ADTRP, CELF4, CPNE4, KHDRBS3, NEUROD2, SORCS2, SV2B",0.111902209121626,0.0513812470348389,0.205524988139356,0.0492,0.1968
Adult-Ex2,2,9,"GLIS3, PTPRK, COL5A2, ADCY8, TRHDE, CLMN, LAMA2, OVOL2, SYT10",0.0638949337398765,0.0948358858782736,0.32515160872551,0.095,0.325714285714286
Adult-Ex1,1,17,"HPCAL1, LAMP5, SERPINE2, CDH9, GNAL, CCDC88C, PCDH8, PDGFD, GREB1L, MDGA1, JAG1, GPR83, NECAB2, CAMK2A, DNM1, KCNK1, KCNV1",-0.0096242835041345,0.566061201538728,0.999670596649117,0.563,1
Adult-Ex6,6,34,"SEMA3E, HS3ST4, DLC1, KIAA1217, GRIK3, TLE4, MCC, BCL11B, LUZP2, ADAMTSL1, ZFHX3, SDK2, GRM4, LRRC3B, PCSK5, ZNF385D, VAV2, ATP2C2, GHR, RYR3, CNTNAP3, ANKRD18A, SULF1, SEMA5A, FEZF2, ITGA8, SYT6, TSPAN18, RGS9, PDE9A, FOXP2, RASL10A, RYR2, UNC80",-0.114081177681897,0.992613560833677,0.999670596649117,0.9942,1
Adult-Ex7,7,6,"COBL, DPYD, NELL1, CHST8, SNTG2, PRRX1",-0.0696030853437988,0.907816230521254,0.999670596649117,0.9058,1
Adult-Ex8,8,54,"NTNG2, RGS12, NR4A2, HPSE2, OLFML2B, RASGEF1C, GALNT14, FRAS1, CRTAC1, SPOCK3, MGAT5, SYNPR, KLHL1, RNF152, GFRA1, CTNNA3, ITGB8, PDLIM5, THEMIS, PTPRU, PLD5, SWAP70, TRPC5, CREB5, TRPM4, ITGA11, SFMBT2, B3GAT2, TESC, SNTB1, ATP8B1, SYT10, CLTCL1, GNG4, MYO10, RASSF3, RRBP1, CDC14A, LIMS1, HGF, LTBP1, GPR153, FAM151B, ATP10A, ADRA2A, ANKRD13A, CDK18, LIMS2, NFASC, NPTX1, PDE1A, SATB2, SEC14L5, SFXN5",-0.0660721901754561,0.930637711863923,0.999670596649117,0.928,1
Adult-In1,9,2,"CNR1, SDK2",-0.297862563452076,0.993507824802329,0.999670596649117,0.9934,1
Adult-In2,10,7,"COL21A1, GABRA1, KCNT2, PPP1R1C, SLC7A11, CCDC141, GPR149",-0.0971449983400639,0.991106650673648,0.999670596649117,0.9934,1
Adult-In3,11,17,"CALN1, CIT, CNTN4, SVEP1, TGFB2, TMEM130, SHISA8, IGFBP5, RYR3, EXPH5, SLC12A7, KMO, CRIM1, EMID1, SYT2, AHRR, SCTR",-0.021495832533043,0.750644441333241,0.999670596649117,0.7512,1
Adult-In4,12,11,"DAAM2, EGFR, GABRB2, NMBR, SV2C, FREM1, TRPC3, KIT, MYH11, ADAMTS2, PDGFRA",-0.0384658600933293,0.788343055279841,0.999670596649117,0.791,1
Adult-In7,15,10,"CKMT1B, DPYSL5, HS6ST2, KIAA1324, NRXN3, VWDE, HPGD, DSP, PLD1, COL24A1",-0.0251693742000423,0.758997143986511,0.999670596649117,0.7618,1
Adult-In8,16,3,"CTTNBP2, TNR, NMU",0.0159316175971214,0.367510482099577,0.999670596649117,0.3694,1
Adult-Astro,17,37,"ALDH1L1, EYA1, NWD1, SLCO1C1, HGF, SPARCL1, SLC25A18, FGFR3, SDC4, GFAP, ACSBG1, PRODH, ITGB4, SLC7A11, AGT, PPP1R3C, RANBP3L, RNF43, GJB6, SLC14A1, GJA1, USP9Y, TTTY15, KDM5D, SLC39A12, COL16A1, DLC1, ABCC9, MGST1, GABRG1, ITGA7, CLTCL1, RGS9, SLC30A10, BMPR1B, SLC4A4, GRM3",-0.230800701306229,0.999670596649117,0.999670596649117,1,1
Adult-Endo,18,76,"NLGN4Y, ITGB8, MYO10, RAB31, PDLIM5, CREB5, LPAR1, KCNH8, JAG1, KANK2, PDGFRA, SPARC, DCN, CTH, GPR37L1, EDNRB, B2M, CYBRD1, MSX1, ADAMTS4, TF, TMEM144, ENPP2, KLK6, ERMN, RNASE1, PLP1, OPALIN, CNDP1, FOLH1, UGT8, CNP, PLEKHB1, MAL, GPR37, NR4A2, B3GNT7, GPNMB, GLYCTK, GJB1, PAQR6, GSN, ABCA8, FA2H, CARNS1, MOBP, MBP, CLDN11, RRBP1, OLFML2B, HPGD, DSP, ANKRD13A, SEMA5A, CDC14A, PRRX1, ZFHX3, FLT1, CEBPD, GNG11, PEAR1, FERMT1, RCSD1, TGM2, ITIH5, APOLD1, EDN3, FOXC1, IFI27, ESAM, ANXA1, MYH11, ITGA1, RGS5, ZNF703, CCDC88C",-0.162383492761313,0.991564615165783,0.999670596649117,0.9916,1
Dev-quiescent,19,15,"BCL11A, DCX, DPYSL3, GLRA2, STMN2, SEMA3E, SYT6, FEZF2, RNF182, SRGAP1, SOX11, TUBA1A, SOX4, NEUROD6, NREP",-0.041812982225073,0.784857698245991,0.999670596649117,0.7804,1
