publication,title,doi,n,nDyads,propFem,ageMean,ageSD,area,task,contrasts,method,space,x,y,z,stat,statType,location,comments
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,33,6,-27,11,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,-33,6,-27,7.9,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,30,24,48,6.4,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,-15,-48,39,14.4,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,-63,-21,27,8.3,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,27,-63,-15,13.3,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Anders 2011,Flow of affective information between communicating brains,10.1016/j.neuroimage.2010.07.004,12,6,0.5,23,NA,emotion,emotion expr/recog,pseudo: predict perciever's from sender's activity,Seed,MNI,60,-69,42,10.4,T,Table S1,prediction of voxel-wise brain activity via univariate classifier
Bilek 2015 1,"Information flow between interacting human brains: Identification, validation, and relationship to social expertise - DISCOVERY",10.1073/pnas.1421831112,26,13,0.62,24.5,4.6,joint attention,JA via button press,(dyad-ISC during interaction > no interaction) > random-ISC,wb-ICA,MNI,54,-61,16,NA,NA,text file,none
Bilek 2015 1,"Information flow between interacting human brains: Identification, validation, and relationship to social expertise - DISCOVERY",10.1073/pnas.1421831112,26,13,0.62,24.5,4.6,joint attention,JA via button press,(dyad-ISC during interaction > no interaction) > random-ISC,wb-ICA,MNI,-2,62,30,NA,NA,text file,none
Bilek 2015 2,"Information flow between interacting human brains: Identification, validation, and relationship to social expertise - REPLICATION",10.1073/pnas.1421831112,50,25,1,23.4,3.3,joint attention,JA via button press,(dyad-ISC during interaction > no interaction) > random-ISC,wb-ICA,MNI,60,-49,19,NA,NA,text file,none
Dikker 2014,On the same wavelength: Predictable language enhances speaker-listener brain-to-brain synchrony in posterior superior temporal gyrus,10.1523/JNEUROSCI.3796-13.2014,10,9,0.8,25.05,5,communication,speak/listen,pseudo: speaker/listener-ISC,ts-VW,MNI,-50,-47,-13,NA,ISC,Figure 2B,pseudo-hyperscanning
Koike 2016 2,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 2,10.1016/j.neuroimage.2015.09.076,30,15,0.47,20.6,2.92,joint attention,mutual gaze,dyad-ISC during mutual gaze without JA task,wb-VW,MNI,46,-54,8,5.56,T,Table 3-MG2,none (only Koike 2016 exp. that was not reused)
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,48,-74,6,5.75,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,56,-12,40,5.62,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,68,-8,22,4.49,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,48,-10,38,4.31,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,-62,4,30,5.03,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,-50,-14,30,4.93,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,-64,-14,28,4.68,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,34,4,12,5.02,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,44,0,14,4.39,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,36,-4,18,3.99,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,54,-38,12,4.14,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,64,-48,14,3.99,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 1,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 1 dyad-ISC during mutual gaze after JA (same partner),wb-VW,MNI,48,-38,18,3.98,T,Table 2-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Neural substrates of shared attention as social memory: A hyperscanning functional magnetic resonance imaging study - EXPERIMENT 3,10.1016/j.neuroimage.2015.09.076,64,32,0.59,22.4,5.08,joint attention,mutual gaze,2016 3 dyad-ISC during mutual gaze after JA (diff. Partner),wb-VW,MNI,56,-54,10,5.46,T,Table 4-MG2,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,38,22,0,4.95,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,12,-80,2,6.15,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,22,-76,-2,4.09,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,12,-72,-4,6.52,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,-14,-82,2,4.75,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2016 1 3 + 2019b,Role of the right anterior insular cortex in joint attention-related identification with a partner,10.1093/scan/nsz087,64,32,0.59,22.4,5.08,joint attention,JA via eye gaze,2019b dyad-ISC during JA > random-ISC,wb-VW,MNI,-10,-76,-2,5.36,T,Table S5,Comb: 2 exp. from Koike 2016 + 1 exp. from 2019b
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,-26,-82,4,5.75,T,Table 4,none
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,-34,-78,4,4.7,T,Table 4,none
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,-28,-86,22,4.63,T,Table 4,none
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,28,-76,24,4.74,T,Table 4,none
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,38,-80,16,3.98,T,Table 4,none
Koike 2019a,What Makes Eye Contact Special? Neural Substrates of On-Line Mutual Eye-Gaze: A Hyperscanning fMRI Study,10.1523/ENEURO.0284-18.2019,28,14,0.36,21.8,2.17,joint attention,mutual gaze,dyad-ISC during mutual gaze with live video > delayed video,wb-VW,MNI,34,-88,18,3.83,T,Table 4,none
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,33,-36,57,0.36,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,27,-57,63,0.31,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,21,-60,60,0.31,Z (rp),Table 1,pseudo-hyperscanning
Kostorz 2020,Synchronization between instructor and observer when learning a complex bimanual skill,10.1016/j.neuroimage.2020.116659,29,28,0.52,27.2,NA,learning,learning origami,pseudo: intructor-observer-ISC across conditions > 0,wb-VW,MNI,48,-21,39,0.31,Z (rp),Table 1,pseudo-hyperscanning
