publication,title,doi,n,nDyads,nFem,nMale,ageMean,ageSD,area,task,contrast,waveLen,samplRate,Hb,FqBand,coordinate source,probe,array,channelPaper,sync,x,y,z,reconstrQuality,selected
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,1,1,-45,34,42,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,2,0,-37,18,59,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,3,1,38,17,29,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,4,0,37,14,55,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,5,0,-19,41,36,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,6,0,-20,33,59,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,7,0,25,38,37,3,0
Balconi 2017,Two is better than one: The effects of strategic cooperation on intra- and inter-brain connectivity by fNIRS,10.1371/journal.pone.0187652,26,13,13,13,24.08,1.78,cooperation,"synchronize sustained attention, pos fb",ISC post pos feedback > ISC pre pos feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,8,0,15,22,46,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,1,1,-45,34,42,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,2,0,-37,18,59,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,3,1,38,17,29,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,4,0,37,14,55,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,5,0,-19,41,36,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,6,0,-20,33,59,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,7,0,25,38,37,3,0
Balconi 2018,Functional brain connectivity when cooperation fails,10.1016/j.bandc.2018.02.009,26,13,NA,NA,25.89,1.21,cooperation,"synchronize sustained attention, neg fb",ISC pre neg feedback/ control > ISC post neg feedback,760; 850,6.25,HbO,0.01 - 0.03,AtlasViewer,frontRL,2x 2x2,8,0,15,22,46,3,0
