region,region_idx,n_ch_all,n_ch_sync,n_exp_all,n_exp_sync,n_sub_all,n_sub_sync,ch_ratio,ch_ratio_ch_sync,ch_ratio_sub_all,ch_ratio_exp_all,exp_all,exp_sync,AAL,BA
LH_Default_PFC_2,43.0,56,11.0,44,7,2205.0,268.0,0.19642857142857142,2.1607142857142856,433.125,8.642857142857142,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Feng 2020, Hou 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu T 2017, Liu Y 2017, Liu J 2019, Liu W 2019 , Long 2021a + Long 2021b, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Pan 2020, Pan 2021, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2020 + 2021a, Zhang R 2021 1, Zhang R 2021 2, Zhu 2021 1, Zhu 2021 2","Canigueral 2021, Hu 2017, Li Z 2021, Liu T 2017, Pan 2020, Pan 2021, Zhu 2021 1",37.52% Frontal_Inf_Tri_L; 21.71% Frontal_Inf_Orb_2_L; 15.12% Frontal_Mid_2_L; 9.48% OFClat_L; 7.49% Frontal_Inf_Oper_L,65.57% Background; 8.33% Brodmann_area_47; 7.93% Brodmann_area_45; 6.19% Brodmann_area_10
RH_Default_PFCdPFCm_2,97.0,114,17.0,46,13,2818.0,1002.0,0.14912280701754385,2.5350877192982453,420.2280701754386,6.859649122807017,"Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu N 2016, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang M 2017a + 2017b, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2017, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Chen 2020 1, Li Z 2021, Liu N 2016, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Wang 2019, Xue 2018 3, Yang 2020, Zhang M 2017a + 2017b, Zhang M 2020 + 2021a, Zhao 2017, Zhao 2021 2",41.38% Frontal_Sup_Medial_R; 36.31% Frontal_Sup_2_R; 8.37% Supp_Motor_Area_R; 5.61% Frontal_Sup_Medial_L,68.45% Background; 11.50% Brodmann_area_9; 8.60% Brodmann_area_8; 6.07% Brodmann_area_10; 5.39% Brodmann_area_6
LH_Default_PFC_4,45.0,113,21.0,43,12,2098.0,506.0,0.18584070796460178,3.9026548672566372,389.89380530973455,7.991150442477877,"Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu Y 2017, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Nozawa 2019, Pan 2020, Pinti 2021, Quinones-Camacho 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2017a + 2017b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2021 1, Zhao 2021 2, Zheng 2018 + 2020 1, Zhu 2021 1, Zhu 2021 2","Cheng 2015, Cheng 2019, Duan 2020 1, Li Z 2021, Liu Y 2017, Lu 2019a 1, Nozawa 2019, Pan 2020, Pinti 2021, Xue 2018 1, Xue 2018 3, Zhu 2021 1",55.26% Frontal_Sup_2_L; 14.31% Frontal_Mid_2_L; 11.30% OFCant_L; 9.11% no_label; 5.20% Frontal_Med_Orb_L,61.42% Background; 28.88% Brodmann_area_10; 9.69% Brodmann_area_11
RH_Cont_PFCl_3,85.0,87,12.0,47,11,2756.0,912.0,0.13793103448275862,1.6551724137931034,380.13793103448273,6.482758620689655,"Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu N 2016, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2017, Zhao 2021 1, Zhao 2021 2, Zhu 2021 1, Zhu 2021 2","Cheng 2015, Cui 2012, Liu N 2016, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Pan 2020, Wang 2019, Xue 2018 3, Yang 2020",65.37% Frontal_Mid_2_R; 33.03% Frontal_Sup_2_R,57.38% Background; 22.30% Brodmann_area_9; 12.71% Brodmann_area_10; 7.61% Brodmann_area_8
RH_SalVentAttn_TempOccPar_1,74.0,35,5.0,31,4,2145.0,176.0,0.14285714285714285,0.7142857142857142,306.4285714285714,4.428571428571428,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Hou 2020, Li Z 2021, Liu T 2017, Liu J 2019, Liu W 2019 , Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Pan 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Li Z 2021, Liu T 2017, Pan 2021, Tang 2016 2",53.36% Temporal_Sup_R; 35.27% Temporal_Mid_R; 8.47% SupraMarginal_R,69.49% Background; 17.98% Brodmann_area_22
RH_Default_PFCdPFCm_1,96.0,38,6.0,38,6,1844.0,280.0,0.15789473684210525,0.9473684210526315,291.1578947368421,6.0,"Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Duan 2020 1, Duan 2020 2, Feng 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu N 2016, Liu Y 2017, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Nozawa 2016, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2017a + 2017b, Zhang R 2021 1, Zhang R 2021 2, Zhu 2021 1, Zhu 2021 2","Cheng 2019, Lu 2019a 2, Nozawa 2016, Pan 2020, Pinti 2021, Zhang R 2021 1",29.90% Frontal_Med_Orb_R; 29.52% Frontal_Sup_Medial_R; 27.68% Cingulate_Ant_R,61.54% Background; 19.77% Brodmann_area_10; 9.32% Brodmann_area_32
RH_Cont_Par_2,82.0,64,9.0,32,8,2015.0,503.0,0.140625,1.265625,283.359375,4.5,"Canigueral 2021, Chen 2020 1, Chen 2020 2, Cheng 2021, Duan 2020 1, Duan 2020 2, Hou 2020, Liu Y 2017, Liu J 2019, Long 2021a + Long 2021b, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2, Zheng 2018 + 2020 1","Cheng 2021, Long 2021a + Long 2021b, Lu 2020b, Pan 2018 1, Pan 2018 2, Pan 2021, Tang 2016 1, Zhang Y 2020 1",59.87% Angular_R; 30.26% Parietal_Inf_R; 5.92% Parietal_Sup_R,70.86% Background; 10.90% Brodmann_area_40; 8.83% Brodmann_area_39; 6.86% Brodmann_area_7
RH_Cont_PFCl_2,84.0,63,7.0,42,5,2545.0,206.0,0.1111111111111111,0.7777777777777777,282.77777777777777,4.666666666666666,"Canigueral 2021, Cheng 2015, Cheng 2021, Cui 2012, Feng 2020, Hou 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Liu N 2016, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2017 1, Pan 2017 2, Pan 2017 3, Pan 2018 1, Pan 2018 2, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Tang 2016 1, Tang 2016 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zhu 2021 1, Zhu 2021 2","Liu N 2016, Lu 2019a 1, Lu 2019a 2, Pan 2020, Zhang M 2020 + 2021a",52.90% Frontal_Mid_2_R; 43.44% Frontal_Inf_Tri_R,64.16% Background; 21.65% Brodmann_area_46; 12.04% Brodmann_area_10
RH_Vis_3,53.0,19,4.0,18,4,1339.0,592.0,0.21052631578947367,0.8421052631578947,281.89473684210526,3.789473684210526,"Cheng 2021, Hou 2020, Liu J 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2018 1, Pan 2018 2, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Yang 2020, Zhang R 2021 1, Zhang R 2021 2, Zhang Y 2020 1, Zhang Y 2020 2","Lu 2019b 1, Pan 2018 1, Pan 2018 2, Yang 2020",52.97% Temporal_Inf_R; 16.71% Temporal_Mid_R; 13.22% Occipital_Inf_R; 9.29% Fusiform_R; 5.94% no_label,68.73% Background; 17.48% Brodmann_area_37; 8.24% Brodmann_area_19
LH_SalVentAttn_PFCl_1,27.0,76,10.0,43,10,2042.0,436.0,0.13157894736842105,1.3157894736842104,268.6842105263158,5.657894736842105,"Balconi 2017, Balconi 2018, Balconi 2019, Chen 2020 1, Chen 2020 2, Cheng 2015, Cheng 2019, Cheng 2021, Cui 2012, Feng 2020, Fronda & Balconi 2020, Hu 2017, Li 2020 1, Li 2020 2, Li Ya 2021, Li Yu 2021, Li Z 2021, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Lu 2019b 1, Lu 2019b 2, Lu 2020a, Lu 2020b, Pan 2020, Pinti 2021, Sun 2020 1, Sun 2020 2, Sun 2021, Wang 2019, Xue 2018 1, Xue 2018 2, Xue 2018 3, Zhang M 2020 + 2021a, Zhang M 2021b, Zhang R 2021 1, Zhang R 2021 2, Zhao 2021 1, Zhao 2021 2, Zheng 2018 + 2020 1, Zhu 2021 1, Zhu 2021 2","Balconi 2019, Li Ya 2021, Li Z 2021, Liu J 2019, Lu 2019a 1, Lu 2019a 2, Lu 2019a 3 + Lu & Hao 2019, Pan 2020, Sun 2020 2, Zhu 2021 1",58.16% Frontal_Mid_2_L; 41.51% Frontal_Sup_2_L,56.30% Background; 18.90% Brodmann_area_9; 13.79% Brodmann_area_10; 10.81% Brodmann_area_8
