publication,n,sync,x,y,z,i,j,k,i_,j_,k_,dist,atlas_idx,atlas_region
Balconi 2017,26.0,1.0,-45.0,34.0,42.0,22,80,57,23,79,56,1.7320508075688772,35.0,LH_Cont_PFCl_1
Balconi 2017,26.0,0.0,-37.0,18.0,59.0,26,72,65,26,72,65,0.0,47.0,LH_Default_PFC_6
Balconi 2017,26.0,1.0,38.0,17.0,29.0,64,71,50,64,71,50,0.0,72.0,RH_DorsAttn_PrCv_1
Balconi 2017,26.0,0.0,37.0,14.0,55.0,63,70,63,63,70,63,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2017,26.0,0.0,-19.0,41.0,36.0,35,83,54,35,83,54,0.0,27.0,LH_SalVentAttn_PFCl_1
Balconi 2017,26.0,0.0,-20.0,33.0,59.0,35,79,65,35,79,65,0.0,46.0,LH_Default_PFC_5
Balconi 2017,26.0,0.0,25.0,38.0,37.0,57,82,54,57,82,54,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2017,26.0,0.0,15.0,22.0,46.0,52,74,59,50,73,59,2.23606797749979,78.0,RH_SalVentAttn_Med_2
Balconi 2018,26.0,1.0,-45.0,34.0,42.0,22,80,57,23,79,56,1.7320508075688772,35.0,LH_Cont_PFCl_1
Balconi 2018,26.0,0.0,-37.0,18.0,59.0,26,72,65,26,72,65,0.0,47.0,LH_Default_PFC_6
Balconi 2018,26.0,1.0,38.0,17.0,29.0,64,71,50,64,71,50,0.0,72.0,RH_DorsAttn_PrCv_1
Balconi 2018,26.0,0.0,37.0,14.0,55.0,63,70,63,63,70,63,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2018,26.0,0.0,-19.0,41.0,36.0,35,83,54,35,83,54,0.0,27.0,LH_SalVentAttn_PFCl_1
Balconi 2018,26.0,0.0,-20.0,33.0,59.0,35,79,65,35,79,65,0.0,46.0,LH_Default_PFC_5
Balconi 2018,26.0,0.0,25.0,38.0,37.0,57,82,54,57,82,54,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2018,26.0,0.0,15.0,22.0,46.0,52,74,59,50,73,59,2.23606797749979,78.0,RH_SalVentAttn_Med_2
Balconi 2019,32.0,0.0,-45.0,34.0,42.0,22,80,57,23,79,56,1.7320508075688772,35.0,LH_Cont_PFCl_1
Balconi 2019,32.0,1.0,-37.0,18.0,59.0,26,72,65,26,72,65,0.0,47.0,LH_Default_PFC_6
Balconi 2019,32.0,0.0,38.0,17.0,29.0,64,71,50,64,71,50,0.0,72.0,RH_DorsAttn_PrCv_1
Balconi 2019,32.0,1.0,37.0,14.0,55.0,63,70,63,63,70,63,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2019,32.0,1.0,-19.0,41.0,36.0,35,83,54,35,83,54,0.0,27.0,LH_SalVentAttn_PFCl_1
Balconi 2019,32.0,0.0,-20.0,33.0,59.0,35,79,65,35,79,65,0.0,46.0,LH_Default_PFC_5
Balconi 2019,32.0,1.0,25.0,38.0,37.0,57,82,54,57,82,54,0.0,98.0,RH_Default_PFCdPFCm_3
Balconi 2019,32.0,0.0,15.0,22.0,46.0,52,74,59,50,73,59,2.23606797749979,78.0,RH_SalVentAttn_Med_2
Canigueral 2021,30.0,0.0,-40.0,-63.0,61.0,25,31,66,25,31,65,1.0,41.0,LH_Default_Par_2
Canigueral 2021,30.0,0.0,-49.0,-55.0,57.0,20,35,64,20,35,63,1.0,41.0,LH_Default_Par_2
Canigueral 2021,30.0,0.0,-45.0,-75.0,46.0,22,25,59,22,26,58,1.4142135623730951,41.0,LH_Default_Par_2
