cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,talairach_gyrus,talairach_ba,aal
1.0,60.0,-48.0,16.0,0.08503347284954212,28576.0,25.59% Superior_Temporal_Gyrus; 23.96% Middle_Temporal_Gyrus; 9.69% Middle_Occipital_Gyrus; 7.70% Supramarginal_Gyrus; 7.33% Fusiform_Gyrus; 7.22% Inferior_Parietal_Lobule,67.83% Background; 6.97% Brodmann_area_22; 5.85% Brodmann_area_40; 5.10% Brodmann_area_37,39.39% Temporal_Mid_R; 18.20% Temporal_Sup_R; 11.62% SupraMarginal_R; 9.55% Temporal_Inf_R; 7.84% Fusiform_R; 6.63% Occipital_Inf_R
2.0,-58.0,-42.0,22.0,0.06620837554585081,26280.0,24.11% Superior_Temporal_Gyrus; 23.96% Middle_Temporal_Gyrus; 14.98% Inferior_Parietal_Lobule; 6.33% Supramarginal_Gyrus; 6.15% Fusiform_Gyrus; 5.48% Middle_Occipital_Gyrus,67.15% Background; 10.56% Brodmann_area_40; 5.63% Brodmann_area_39; 5.21% Brodmann_area_22,35.43% Temporal_Mid_L; 17.08% SupraMarginal_L; 15.68% Temporal_Sup_L; 8.80% Fusiform_L; 5.02% Temporal_Inf_L
3.0,-32.0,20.0,2.0,0.06814042306271234,22456.0,52.08% Inferior_Frontal_Gyrus; 14.11% Precentral_Gyrus; 12.50% Insula; 9.76% Middle_Frontal_Gyrus,65.66% Background; 6.91% Brodmann_area_47; 6.09% Brodmann_area_6; 5.66% Brodmann_area_13,24.90% Frontal_Inf_Tri_L; 21.66% Insula_L; 18.28% Precentral_L; 15.57% Frontal_Inf_Oper_L; 12.22% Frontal_Inf_Orb_2_L
4.0,36.0,20.0,-2.0,0.06930033631230656,19760.0,49.31% Inferior_Frontal_Gyrus; 20.49% Middle_Frontal_Gyrus; 8.50% Precentral_Gyrus; 8.18% Insula; 5.06% Sub-Gyral,64.09% Background; 8.10% Brodmann_area_6; 7.73% Brodmann_area_47; 5.43% Brodmann_area_9; 5.10% Brodmann_area_45,22.43% Frontal_Inf_Oper_R; 19.64% Insula_R; 19.51% Precentral_R; 18.70% Frontal_Inf_Tri_R; 6.80% Frontal_Inf_Orb_2_R; 5.71% no_label
5.0,-4.0,12.0,48.0,0.07031958392797105,11416.0,32.87% Superior_Frontal_Gyrus; 30.55% Cingulate_Gyrus; 27.19% Medial_Frontal_Gyrus; 9.18% Background,53.61% Background; 20.88% Brodmann_area_6; 16.54% Brodmann_area_32; 7.29% Brodmann_area_8,32.94% Supp_Motor_Area_L; 24.04% Supp_Motor_Area_R; 20.88% Cingulate_Mid_R; 9.39% Cingulate_Mid_L; 8.20% Frontal_Sup_Medial_L
6.0,-10.0,-18.0,4.0,0.06596972074554064,5672.0,50.21% Thalamus; 22.85% Parahippocampal_Gyrus; 11.57% Extra-Nuclear; 6.77% Lentiform_Nucleus; 6.06% Background,41.04% Background; 12.27% Amygdala; 9.87% Medial_Dorsal_Nucleus; 6.21% Ventral_Lateral_Nucleus,54.72% Thalamus_L; 16.50% no_label; 14.10% Hippocampus_L; 10.86% Amygdala_L
7.0,-34.0,-50.0,46.0,0.0615594952576486,5448.0,41.26% Inferior_Parietal_Lobule; 34.95% Superior_Parietal_Lobule; 14.54% Precuneus; 5.73% Background,58.44% Background; 20.41% Brodmann_area_7; 19.68% Brodmann_area_40,64.32% Parietal_Inf_L; 27.02% Parietal_Sup_L; 5.87% Precuneus_L
8.0,10.0,-16.0,6.0,0.06069477422619766,4664.0,48.20% Thalamus; 29.16% Lentiform_Nucleus; 16.81% Extra-Nuclear; 5.15% Caudate,31.05% Background; 13.38% Putamen; 12.52% Ventral_Lateral_Nucleus; 11.66% Medial_Dorsal_Nucleus; 10.81% Lateral_Globus_Pallidus; 5.15% Medial_Globus_Pallidus,49.40% Thalamus_R; 24.19% no_label; 17.67% Pallidum_R; 6.69% Caudate_R
9.0,32.0,-58.0,48.0,0.06097806329141088,2872.0,61.84% Superior_Parietal_Lobule; 27.58% Inferior_Parietal_Lobule,51.53% Background; 35.93% Brodmann_area_7; 12.53% Brodmann_area_40,37.33% Parietal_Inf_R; 31.20% Angular_R; 30.08% Parietal_Sup_R
10.0,-2.0,-56.0,34.0,0.06322368226553264,1520.0,72.63% Precuneus; 20.53% Cingulate_Gyrus,60.00% Background; 24.21% Brodmann_area_7; 15.79% Brodmann_area_31,50.53% Precuneus_L; 31.58% Cingulate_Post_L; 15.26% Precuneus_R
11.0,2.0,0.0,40.0,0.05312548764050007,16.0,100.00% Cingulate_Gyrus,100.00% Background,100.00% Cingulate_Mid_R
