FWDmax1,FWDmax2,FWDmax3,FWDmax4,FWDmax5,FWDmax6,FWD_tra1,FWD_tra2,FWD_tra3,FWD_rot1,FWD_rot2,FWD_rot3,Exclude_motion
0.241119,0.159567,0.534901,0.134473,0.120493,0.096200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.249111,0.117069,0.410327,0.768394,0.294729,0.147880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.208150,0.100103,0.110732,0.086746,0.109435,0.077521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.281083,0.140658,0.405665,0.172976,0.123644,0.109435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.258731,0.115844,0.390918,0.350593,0.317075,0.374084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.209534,0.063206,0.120765,0.129431,0.099695,0.082677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.185418,0.751472,0.359734,3.419699,0.279432,0.633119,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.179792,0.085631,0.096171,0.093965,0.134760,0.117170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.239221,0.078655,0.353668,0.148225,0.184320,0.122269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.340030,0.067444,0.348316,0.209244,0.270608,0.190222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.246387,0.201615,0.430353,0.165871,0.160887,0.129030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.169056,0.081116,0.612419,0.150573,0.182201,0.163580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.147975,0.077004,0.111805,0.238007,0.184607,0.205635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.668671,0.131102,0.382524,0.762263,0.459455,1.070973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.273788,0.121122,0.792371,0.563618,0.233308,0.178877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.178405,0.160634,0.552078,0.550784,0.142495,0.170111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.118230,0.069033,0.110275,0.123530,0.091501,0.111440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.238012,0.260559,0.572014,0.441120,0.263847,0.218869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.970311,2.614525,1.436285,4.865845,1.081458,2.266678,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
0.498088,0.210241,0.876353,0.370990,1.338258,0.718776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.199847,0.063248,0.150137,0.165413,0.118374,0.108003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.473014,0.146653,0.906878,0.225344,0.183519,0.122613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.116011,0.083176,0.117461,0.112988,0.120207,0.120779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.173397,0.177987,0.510419,0.443755,0.325497,0.256055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.232083,0.057681,0.236058,0.345436,0.108060,0.094825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.361275,0.301400,0.477091,0.224371,0.258633,0.213942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.199478,0.078961,0.249117,0.324581,0.128973,0.204260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.322537,0.092738,0.322793,0.349676,0.191254,0.168049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.288916,0.154674,0.649664,0.518870,0.249638,0.157793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.319009,0.167676,0.222769,0.252216,0.162262,0.176987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.542680,0.494820,1.061554,1.085755,0.500365,0.447652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.704770,0.251751,1.095040,0.485181,0.089267,0.211995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.154424,0.055334,0.212328,0.132697,0.069844,0.079125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.296135,0.068991,0.630981,0.191311,0.180367,0.151891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.300889,0.106713,0.179053,1.286864,0.352025,0.191998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.091318,0.055126,0.167900,0.099638,0.106284,0.109435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.150686,0.066450,0.170355,0.301835,0.183633,0.089839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.179881,0.151592,0.338052,0.347385,0.241444,0.142036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.188171,0.118291,0.338531,0.238007,0.117055,0.212682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.302588,0.209031,0.789231,1.749125,0.351280,0.268545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.233579,0.059214,0.145825,0.257945,0.107258,0.162147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.162004,0.052133,0.139935,0.074656,0.109435,0.078381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.229183,0.109120,1.013164,0.724963,0.239209,0.182888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.266611,0.094933,0.282683,0.372193,0.218469,0.211995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.132806,0.056964,0.089616,0.085715,0.083881,0.121410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.161960,0.210296,0.226189,0.214344,0.137224,0.119576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.224041,0.594148,0.693731,0.264764,0.355062,0.251929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.159419,0.052007,0.191997,0.116769,0.092189,0.110409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
