%cLabel	pValZ	cScorePheno
GO:1901386	2.12E-06	0.234668889
GO:2001016	2.37E-06	0.417535075
GO:0000160	1.96E-05	0.255715187
GO:0000290	1.18E-05	0.278557001
GO:0003299	2.30E-05	0.186430131
GO:0014887	2.23E-05	0.1625814
GO:0014898	2.30E-05	0.186430131
GO:0021702	1.33E-05	0.231782432
GO:0033233	2.47E-05	0.142511929
GO:0033561	8.69E-06	0.209875107
GO:0042996	1.50E-05	0.368474617
GO:0048024	1.94E-05	0.137261626
GO:0071107	2.45E-05	0.238323322
GO:0085020	1.21E-05	0.262404333
GO:1901524	1.28E-05	0.278570681
GO:1902857	1.06E-05	0.23509453
GO:0001964	6.76E-05	0.13781122
GO:0006498	4.56E-05	0.297013896
GO:0021533	3.35E-05	0.172386953
GO:0021694	5.23E-05	0.188467535
GO:0031987	7.25E-05	0.153241639
GO:0033136	5.87E-05	0.34995896
GO:0035518	4.50E-05	0.207936861
GO:0042501	7.19E-05	0.234137229
GO:0042753	7.12E-05	0.138464374
GO:0043981	5.00E-05	0.170874295
GO:0043982	5.00E-05	0.170874295
GO:0050732	7.03E-05	0.132864415
GO:0051295	7.03E-05	0.193698877
GO:1903147	5.43E-05	0.308751891
GO:1903798	5.63E-05	0.15018823
GO:2001014	5.37E-05	0.149822475
GO:0051573	7.82E-05	0.212801695
GO:0021692	8.29E-05	0.17759548
GO:0014877	0.000100314	0.228221034
GO:0014894	0.000100314	0.228221034
GO:0016926	0.000101576	0.2015723
GO:0030213	0.000106926	0.190836287
GO:0071236	0.000107954	0.16660574
GO:0000002	0.000123617	0.186986871
GO:0007019	0.000119746	0.112532978
GO:0033235	0.000129213	0.159335759
GO:0035970	0.000119645	0.196195966
GO:0045053	0.000128844	0.241286571
GO:2000574	0.000139053	0.15058352
GO:0006268	0.000143763	0.257607906
GO:0010569	0.00014934	0.188424294
GO:0043968	0.000150623	0.191497543
GO:0009648	0.000156839	0.147704247
GO:0000380	0.000201826	0.148691655
GO:0002931	0.000164037	0.128098309
GO:0006011	0.00017134	0.158114157
GO:0006987	0.000172665	0.193832796
GO:0007020	0.000205328	0.137095613
GO:0007143	0.000167935	0.180571914
GO:0019405	0.000196473	0.189018439
GO:0019563	0.000196473	0.189018439
GO:0032042	0.000180153	0.160770206
GO:1902414	0.000177424	0.223353638
GO:0014874	0.000208608	0.150765421
GO:0043201	0.000215701	0.192585784
GO:0000301	0.000233942	0.125793821
GO:0000726	0.000235643	0.131269946
GO:0006282	0.000235278	0.112013645
GO:0045646	0.000240025	0.086314728
GO:0031061	0.000283856	0.154295362
GO:0021697	0.000322944	0.1123442
GO:0010501	0.000338656	0.128097882
GO:0070536	0.000342389	0.123945512
GO:0007042	0.00035904	0.267621199
GO:0061099	0.000360364	0.140050018
GO:0001958	0.000424573	0.119634406
GO:0006071	0.000457999	0.157521752
GO:0033169	0.000458831	0.209469415
GO:0036075	0.000424573	0.119634406
GO:0043984	0.000421033	0.112213
GO:0060263	0.000419787	0.148793099
GO:0070920	0.000551208	0.112012286
GO:0009750	0.000659225	0.229446217
GO:1901976	0.000659188	0.114113879
GO:0048643	0.000691408	0.090556315
GO:0006482	0.000806718	0.129372964
GO:0008214	0.000806718	0.129372964
GO:0032736	0.000801879	0.095462762
GO:0034661	0.000757227	0.103586809
GO:0048672	0.000716015	0.136753739
GO:0018027	0.000844534	0.138441974
GO:0035751	0.000915807	0.177058688
GO:0006244	6.16E-05	0.152072573
GO:0016578	6.88E-05	0.161373786
GO:0072176	4.67E-05	0.186304382
GO:0090161	6.34E-05	0.152623658
GO:2000323	4.70E-05	0.337861209
GO:0000423	7.76E-05	0.262616303
GO:0043983	7.75E-05	0.222440687
GO:0061436	9.09E-05	0.184831754
GO:0035542	0.000113506	0.243252218
GO:0050905	0.000126479	0.090921387
GO:0044804	0.00013774	0.211060719
GO:0034983	0.000150591	0.18396192
GO:0086016	0.00018349	0.298335406
GO:0086027	0.00018349	0.298335406
GO:1903799	0.000193701	0.21979181
GO:0097503	0.000215941	0.122076143
GO:0006189	0.000224109	0.180706296
GO:0006188	0.000258114	0.140262847
GO:0015851	0.00025741	0.340869714
GO:0006303	0.000298016	0.127651589
GO:0007026	0.000291635	0.119730638
GO:0031109	0.000293509	0.092577602
GO:0048026	0.000273844	0.10757027
GO:0070940	0.000268071	0.173568151
GO:1900103	0.000276349	0.135196317
GO:0043967	0.000332483	0.102978862
GO:0070986	0.000353005	0.157287856
GO:0007176	0.000387609	0.132711781
GO:0042118	0.000398658	0.173558929
GO:0006475	0.000435975	0.088884779
GO:0016573	0.000474061	0.086357913
GO:0031112	0.000479876	0.100580321
GO:0031114	0.000474497	0.099739937
GO:0045064	0.000481292	0.141658103
GO:0045630	0.000476173	0.144650078
GO:0051182	0.0004545	0.235472723
GO:0071168	0.000435904	0.146210754
GO:2000615	0.000481786	0.12488218
GO:0009304	0.000538356	0.19463544
GO:0018393	0.000544951	0.085291584
GO:0000393	0.000549553	0.214248588
GO:0071316	0.000625103	0.189159681
GO:0000959	0.000769732	0.114854433
GO:0031110	0.000722678	0.068569764
GO:0070646	0.000791758	0.083417201
GO:2001171	0.000793787	0.187031893
GO:0072600	0.000815035	0.107118913
GO:0071025	0.000857502	0.139341836
GO:0019400	0.000911845	0.157053157
GO:0071033	0.000961741	0.171701006
GO:0035435	0.001043302	0.138661348
GO:0035493	0.001068957	0.162029815
GO:0016579	0.001112538	0.071333929
GO:0000381	5.62E-05	0.12580658
GO:0000389	9.36E-05	0.262235503
GO:0042752	0.000100066	0.100416952
GO:0016081	0.000135	0.313961299
GO:0006285	0.000158755	0.195772188
GO:0031657	0.000156673	0.252727335
GO:0051415	0.0002054	0.253141592
GO:0051418	0.0002054	0.253141592
GO:0036035	0.000216749	0.21272472
GO:0046785	0.000243508	0.10352128
GO:0072396	0.00026011	0.209168776
GO:0072402	0.00026011	0.209168776
GO:0021957	0.000292107	0.236920096
GO:0060999	0.000296158	0.12877407
GO:1903008	0.00030242	0.1613162
GO:0061003	0.000305694	0.181180355
GO:0006744	0.000363436	0.217989893
GO:1901663	0.000363436	0.217989893
GO:0060998	0.000369772	0.120302785
GO:2000465	0.000382328	0.194672059
GO:0060972	0.000394607	0.182484562
GO:0006089	0.000407558	0.24029376
GO:0032055	0.000455839	0.110600412
